ts,f_lat,f_lon,uav_lat,uav_lon,error_m,sources
1766949067917,39.928595,32.850581,39.928500,32.850539,11.17,RADAR-1;RADAR-2
1766949068019,39.928632,32.850562,39.928500,32.850539,14.86,RADAR-1;RADAR-2
1766949068123,39.928689,32.850566,39.928500,32.850539,21.20,RADAR-1;RADAR-2
1766949068313,39.928739,32.850581,39.929000,32.850606,29.06,RADAR-1;RADAR-2
1766949068326,39.928787,32.850569,39.929000,32.850606,23.94,RADAR-2;RADAR-1
1766949068435,39.928848,32.850571,39.929000,32.850606,17.10,RADAR-1;RADAR-2
1766949068538,39.928897,32.850563,39.929000,32.850606,11.98,RADAR-1;RADAR-2
1766949068745,39.928985,32.850603,39.929000,32.850606,1.65,RADAR-1;RADAR-2
1766949068848,39.929108,32.850584,39.929000,32.850606,12.16,RADAR-2;RADAR-1
1766949068951,39.929167,32.850565,39.929000,32.850606,18.94,RADAR-2;RADAR-1
1766949069143,39.929232,32.850572,39.929000,32.850606,25.91,RADAR-2;RADAR-1
1766949069245,39.929283,32.850629,39.929000,32.850606,31.50,RADAR-1;RADAR-2
1766949069349,39.929364,32.850629,39.929500,32.850676,15.63,RADAR-2;RADAR-1
1766949069452,39.929452,32.850654,39.929500,32.850676,5.71,RADAR-1;RADAR-2
1766949069556,39.929472,32.850664,39.929500,32.850676,3.28,RADAR-2;RADAR-1
1766949069659,39.929475,32.850710,39.929500,32.850676,3.98,RADAR-2;RADAR-1
1766949069761,39.929520,32.850700,39.929500,32.850676,2.97,RADAR-1;RADAR-2
1766949069864,39.929532,32.850715,39.929500,32.850676,4.83,RADAR-2;RADAR-1
1766949069967,39.929555,32.850744,39.929500,32.850676,8.41,RADAR-1;RADAR-2
1766949070070,39.929553,32.850748,39.929500,32.850676,8.49,RADAR-2;RADAR-1
1766949070173,39.929583,32.850778,39.929500,32.850676,12.65,RADAR-1;RADAR-2
1766949070323,39.929666,32.850798,39.930000,32.850750,37.32,RADAR-1;RADAR-2
1766949070379,39.929747,32.850796,39.930000,32.850750,28.37,RADAR-1;RADAR-2
1766949070483,39.929766,32.850807,39.930000,32.850750,26.51,RADAR-2;RADAR-1
1766949070587,39.929865,32.850835,39.930000,32.850750,16.60,RADAR-1;RADAR-2
1766949070690,39.929897,32.850847,39.930000,32.850750,14.10,RADAR-1;RADAR-2
1766949070792,39.930004,32.850840,39.930000,32.850750,7.67,RADAR-1;RADAR-2
1766949070903,39.930003,32.850880,39.930000,32.850750,11.03,RADAR-1;RADAR-2
1766949071004,39.930046,32.850889,39.930000,32.850750,12.83,RADAR-2;RADAR-1
1766949071116,39.930047,32.850890,39.930000,32.850750,13.00,RADAR-2;RADAR-1
1766949071246,39.930096,32.850865,39.930000,32.850750,14.48,RADAR-2;RADAR-1
1766949071327,39.930099,32.850877,39.930500,32.850828,44.79,RADAR-2;RADAR-1
1766949071425,39.930144,32.850931,39.930500,32.850828,40.50,RADAR-2;RADAR-1
1766949071639,39.930191,32.850937,39.930500,32.850828,35.64,RADAR-2;RADAR-1
1766949071741,39.930253,32.851015,39.930500,32.850828,31.73,RADAR-2;RADAR-1
1766949071845,39.930238,32.851044,39.930500,32.850828,34.50,RADAR-2;RADAR-1
1766949071947,39.930217,32.851086,39.930500,32.850828,38.40,RADAR-2;RADAR-1
1766949072050,39.930259,32.851104,39.930500,32.850828,35.63,RADAR-2;RADAR-1
1766949072152,39.930268,32.851119,39.930500,32.850828,35.74,RADAR-1;RADAR-2
1766949072256,39.930329,32.851065,39.930500,32.850828,27.71,RADAR-2;RADAR-1
1766949072358,39.930384,32.851082,39.931000,32.850910,70.07,RADAR-2;RADAR-1
1766949072461,39.930466,32.851072,39.931000,32.850910,60.93,RADAR-1;RADAR-2
1766949072565,39.930489,32.851069,39.931000,32.850910,58.39,RADAR-2;RADAR-1
1766949072668,39.930636,32.851030,39.931000,32.850910,41.71,RADAR-1;RADAR-2
1766949072771,39.930723,32.851053,39.931000,32.850910,33.13,RADAR-1;RADAR-2
1766949072874,39.930776,32.851046,39.931000,32.850910,27.53,RADAR-1;RADAR-2
1766949072977,39.930839,32.851019,39.931000,32.850910,20.21,RADAR-2;RADAR-1
1766949073079,39.930944,32.850989,39.931000,32.850910,9.20,RADAR-1;RADAR-2
1766949073182,39.931002,32.851001,39.931000,32.850910,7.74,RADAR-2;RADAR-1
1766949073334,39.931035,32.851004,39.931500,32.850995,51.76,RADAR-1;RADAR-2
1766949073388,39.931106,32.850987,39.931500,32.850995,43.84,RADAR-2;RADAR-1
1766949073490,39.931163,32.851035,39.931500,32.850995,37.61,RADAR-1;RADAR-2
1766949073593,39.931227,32.851010,39.931500,32.850995,30.36,RADAR-2;RADAR-1
1766949073698,39.931305,32.850989,39.931500,32.850995,21.68,RADAR-1;RADAR-2
1766949073800,39.931354,32.851045,39.931500,32.850995,16.74,RADAR-2;RADAR-1
1766949073903,39.931460,32.850984,39.931500,32.850995,4.50,RADAR-2;RADAR-1
1766949074006,39.931543,32.850915,39.931500,32.850995,8.37,RADAR-1;RADAR-2
1766949074110,39.931593,32.850919,39.931500,32.850995,12.21,RADAR-2;RADAR-1
1766949074259,39.931702,32.850923,39.931500,32.850995,23.28,RADAR-1;RADAR-2
1766949074339,39.931728,32.850912,39.932000,32.851084,33.63,RADAR-2;RADAR-1
1766949074418,39.931714,32.850947,39.932000,32.851084,33.88,RADAR-2;RADAR-1
1766949074521,39.931797,32.850930,39.932000,32.851084,26.16,RADAR-2;RADAR-1
1766949074625,39.931859,32.850924,39.932000,32.851084,20.78,RADAR-2;RADAR-1
